"Remote Data: Time (s)","Remote Data: Temperature (°C)","Remote Data: Temperature 2 (°C)"
200,45.2085237286,44.084992101
201,45.2085237286,44.0566415737
202,45.1796941743,44.0299693997
203,45.1796941743,44.0299693997
204,45.1796941743,44.0033075564
205,45.1796941743,43.9749906446
206,45.1796941743,43.9749906446
207,45.1525720622,43.9483500444
208,45.1254611626,43.9483500444
209,45.1254611626,43.8950996293
210,45.1254611626,43.8950996293
211,45.0983614536,43.8950996293
212,45.0983614536,43.8668269972
213,45.0695802501,43.8668269972
214,45.0695802501,43.8402279871
215,45.0695802501,43.8136391635
216,45.0425035529,43.7853996773
217,45.0425035529,43.7853996773
218,45.0425035529,43.7853996773
219,45.0154379797,43.7588317997
220,44.9883835087,43.7588317997
221,44.9883835087,43.7322740472
222,44.9883835087,43.7040675067
223,44.9883835087,43.7040675067
224,44.9883835087,43.6775305737
225,44.9596502737,43.6775305737
226,44.9596502737,43.6510037044
227,44.9326186325,43.6510037044
228,44.9055980273,43.5963237349
229,44.9055980273,43.5963237349
230,44.9055980273,43.5698275621
231,44.8769007021,43.5698275621
232,44.8769007021,43.5698275621
233,44.8769007021,43.5433413725
234,44.8499027904,43.5433413725
235,44.8499027904,43.5152107122
236,44.8499027904,43.4887450501
237,44.8229158487,43.4887450501
238,44.8229158487,43.4622893106
239,44.8229158487,43.4622893106
240,44.8229158487,43.4358434739
241,44.7959398555,43.4358434739
242,44.7672898351,43.4358434739
243,44.7672898351,43.381330127
244,44.7672898351,43.381330127
245,44.7403363557,43.3549144957
246,44.7403363557,43.3268586503
247,44.7403363557,43.3268586503
248,44.7403363557,43.3268586503
249,44.7133937594,43.300463258
250,44.6309495353,43.300463258
251,44.6309495353,43.2460536362
252,44.6309495353,43.2460536362
253,44.6309495353,43.2460536362
254,44.6040509329,43.2460536362
255,44.6040509329,43.2196881429
256,44.6040509329,43.193332373
257,44.5754829743,43.1669863072
258,44.5754829743,43.1669863072
259,44.5486065736,43.1669863072
260,44.5486065736,43.1390042235
261,44.5486065736,43.1126781114
262,44.5486065736,43.1126781114
263,44.5486065736,43.1126781114
264,44.5217409049,43.0863616443
265,44.5217409049,43.0584109445
266,44.4948859474,43.0584109445
267,44.4948859474,43.0321143095
268,44.4663642677,43.0321143095
269,44.4663642677,43.0058272607
270,44.4663642677,43.0058272607
271,44.4395313355,43.0058272607
272,44.4395313355,42.9795497788
273,44.4395313355,42.9516404156
274,44.4127090502,42.9516404156
275,44.4127090502,42.9253826054
276,44.4127090502,42.9253826054
277,44.4127090502,42.8991343038
278,44.385897391,42.8991343038
279,44.3574216226,42.8712558806
280,44.385897391,42.8712558806
281,44.3574216226,42.8450271304
282,44.3306318135,42.8450271304
283,44.3306318135,42.8188078305
284,44.3306318135,42.8188078305
285,44.3306318135,42.7909601581
286,44.3038525667,42.7909601581
287,44.3038525667,42.76476029
288,44.3038525667,42.76476029
289,44.3038525667,42.7385698144
290,44.2754111669,42.7385698144
291,44.2754111669,42.7123887124
292,44.2486536392,42.7123887124
293,44.2486536392,42.6845815413
294,44.2486536392,42.6845815413
295,44.2219066103,42.6584197132
296,44.2219066103,42.6584197132
297,44.2219066103,42.6322672013
298,44.2219066103,42.6044903441
299,44.1951700596,42.6044903441
300,44.1951700596,42.5783569877
301,44.1951700596,42.5783569877
302,44.1951700596,42.5783569877
303,44.1667739323,42.5522328901
304,44.1667739323,42.5522328901
305,44.1400589277,42.5244861607
306,44.1400589277,42.5244861607
307,44.1400589277,42.4983811008
308,44.1133543383,42.4983811008
309,44.1133543383,42.4983811008
310,44.1133543383,42.4722852429
311,44.1133543383,42.4461985684
312,44.1133543383,42.4461985684
313,44.0866601435,42.4461985684
314,44.0866601435,42.4184915183
315,44.0866601435,42.3924237261
316,44.0583089281,42.3924237261
317,44.0583089281,42.3924237261
318,44.0583089281,42.3663650606
319,44.0316361077,42.3663650606
320,44.0316361077,42.3386877082
321,44.0316361077,42.3126478086
322,43.9766560236,42.3126478086
323,44.0049736193,42.3126478086
324,44.0049736193,42.2866169794
325,44.0049736193,42.2866169794
326,43.9766560236,42.2605952023
327,43.9766560236,42.2605952023
328,43.9766560236,42.2605952023
329,43.9766560236,42.232956962
330,43.9766560236,42.206953797
331,43.9500147809,42.206953797
332,43.9500147809,42.1809596281
333,43.923383808,42.1809596281
334,43.923383808,42.1809596281
335,43.923383808,42.1533506602
336,43.923383808,42.1533506602
337,43.8967630847,42.1273749882
338,43.868489774,42.1273749882
339,43.868489774,42.1014082564
340,43.868489774,42.1014082564
341,43.868489774,42.0738283797
342,43.868489774,42.0738283797
343,43.868489774,42.0478800301
344,43.8418901266,42.0478800301
345,43.8418901266,42.0478800301
346,43.8418901266,42.0219405654
347,43.8153006669,42.0219405654
348,43.7870605062,41.9960099675
349,43.8153006669,41.9960099675
350,43.7870605062,41.9684684024
351,43.7870605062,41.9684684024
352,43.7870605062,41.9425560354
353,43.7870605062,41.9425560354
354,43.7870605062,41.9425560354
355,43.7604919952,41.9425560354
356,43.7604919952,41.8891395872
357,43.7604919952,41.8891395872
358,43.7339336105,41.8632541491
359,43.7339336105,41.8632541491
360,43.7339336105,41.8632541491
361,43.7073853319,41.8632541491
362,43.6791888369,41.8632541491
363,43.7073853319,41.8373774678
364,43.6791888369,41.8115095253
365,43.6791888369,41.8115095253
366,43.6791888369,41.7840343917
367,43.6791888369,41.7840343917
368,43.6791888369,41.7840343917
369,43.6526613393,41.7581844169
370,43.6526613393,41.7323431264
371,43.6526613393,41.7323431264
372,43.6261438867,41.7323431264
373,43.5996364594,41.7323431264
374,43.5996364594,41.7048962508
375,43.5996364594,41.6790728156
376,43.5996364594,41.6790728156
377,43.5996364594,41.6790728156
378,43.5714832803,41.6532580104
379,43.5714832803,41.6258392161
380,43.5714832803,41.6258392161
381,43.5714832803,41.6258392161
382,43.5449964672,41.6258392161
383,43.5449964672,41.6000421545
384,43.5449964672,41.6000421545
385,43.5449964672,41.5742536688
386,43.5185196187,41.5484737415
387,43.5185196187,41.5484737415
388,43.5185196187,41.5484737415
389,43.4903988631,41.5484737415
390,43.4903988631,41.5210919264
391,43.4903988631,41.5210919264
392,43.463942504,41.5210919264
393,43.463942504,41.4953295951
394,43.463942504,41.4953295951
395,43.4374960489,41.4695757684
396,43.4374960489,41.4422216265
397,43.4374960489,41.4422216265
398,43.4374960489,41.4422216265
399,43.4374960489,41.4164852852
400,43.4110594783,41.4164852852
401,43.4110594783,41.4164852852
402,43.4110594783,41.390757395
403,43.3829814305,41.390757395
404,43.3829814305,41.390757395
405,43.3829814305,41.3650379385
406,43.3565651846,41.3377202373
407,43.3565651846,41.3377202373
408,43.3565651846,41.3377202373
409,43.3565651846,41.3120181203
410,43.3301587632,41.3120181203
411,43.3301587632,41.3120181203
412,43.3301587632,41.2863243837
413,43.3301587632,41.2863243837
414,43.3037621466,41.2590339517
415,43.3037621466,41.2590339517
416,43.3037621466,41.180425931
417,43.3037621466,41.180425931
418,43.275726463,41.180425931
419,43.275726463,41.1547748729
420,43.2493500075,41.1547748729
421,43.2493500075,41.1547748729
422,43.2493500075,41.1291320897
423,43.2493500075,41.1291320897
424,43.2229832974,41.1291320897
425,43.2229832974,41.103497564
426,43.2229832974,41.103497564
427,43.2229832974,41.0762699092
428,43.1686326524,41.0506523607
429,43.1949793241,41.0506523607
430,43.1686326524,41.0506523607
431,43.1686326524,41.0250430174
432,43.1686326524,41.0250430174
433,43.1686326524,41.0250430174
434,43.1422956666,41.0250430174
435,43.1422956666,41.0250430174
436,43.1422956666,40.9978420614
437,43.1159683476,40.9722495874
438,43.1159683476,40.9722495874
439,43.1159683476,40.9722495874
440,43.1159683476,40.9466652664
441,43.1159683476,40.9210890813
442,43.0880061413,40.9210890813
443,43.0880061413,40.9210890813
444,43.0616986989,40.8939232803
445,43.0880061413,40.8939232803
446,43.0616986989,40.8939232803
447,43.0616986989,40.8939232803
448,43.0616986989,40.8939232803
449,43.0354008643,40.8428124481
450,43.0354008643,40.8428124481
451,43.0354008643,40.8428124481
452,43.0091126182,40.8156729521
453,43.0091126182,40.8156729521
454,43.0091126182,40.8156729521
455,43.0091126182,40.8156729521
456,42.9811918415,40.7901381981
457,42.9811918415,40.7901381981
458,42.9811918415,40.7646114765
459,42.9549233114,40.7646114765
460,42.9549233114,40.7646114765
461,42.9549233114,40.7374981172
462,42.9286643113,40.7119879094
463,42.9286643113,40.7119879094
464,42.9286643113,40.7119879094
465,42.9286643113,40.6864856826
466,42.9007745444,40.6864856826
467,42.9007745444,40.6864856826
468,42.9007745444,40.66099142
469,42.9007745444,40.6339124736
470,42.9007745444,40.6339124736
471,42.8745351398,40.6084345844
472,42.8745351398,40.6339124736
473,42.8483052069,40.6084345844
474,42.8483052069,40.6084345844
475,42.8220847268,40.5829646081
476,42.8483052069,40.5829646081
477,42.8220847268,40.5829646081
478,42.8220847268,40.5829646081
479,42.8220847268,40.5559114101
480,42.8220847268,40.5559114101
481,42.794235803,40.5559114101
482,42.794235803,40.530457702
483,42.794235803,40.530457702
484,42.794235803,40.505011856
485,42.7680347594,40.4779842405
486,42.7418431108,40.505011856
487,42.7418431108,40.4779842405
488,42.7418431108,40.4779842405
489,42.7418431108,40.4525545577
490,42.7156608382,40.4525545577
491,42.7156608382,40.4525545577
492,42.7156608382,40.4271326862
493,42.7156608382,40.4271326862
494,42.7156608382,40.4017186096
495,42.7156608382,40.4017186096
496,42.7156608382,40.4017186096
497,42.7156608382,40.4017186096
498,42.6878524258,40.3747246756
499,42.6878524258,40.3747246756
500,42.6616894319,40.3747246756
501,42.6616894319,40.3493266238
502,42.6616894319,40.3493266238
503,42.6355357564,40.3239363164
504,42.6355357564,40.3239363164
505,42.6355357564,40.3239363164
506,42.6077576657,40.2969675819
507,42.6077576657,40.2969675819
508,42.6077576657,40.2969675819
509,42.5816231505,40.2715931954
510,42.5816231505,40.2715931954
511,42.5816231505,40.2715931954
512,42.5816231505,40.2462265031
513,42.5816231505,40.2208674886
514,42.5816231505,40.2208674886
515,42.5554978966,40.2208674886
516,42.5293818853,40.1939319299
517,42.5293818853,40.1939319299
518,42.5293818853,40.1939319299
519,42.5293818853,40.1939319299
520,42.5016437297,40.1939319299
521,42.5016437297,40.1685886993
522,42.5016437297,40.1685886993
523,42.5016437297,40.1432530965
524,42.5016437297,40.1432530965
525,42.4755467225,40.1432530965
526,42.4755467225,40.1163423581
527,42.4755467225,40.0910224363
528,42.4755467225,40.0910224363
529,42.4494589011,40.0910224363
530,42.4494589011,40.0910224363
531,42.4494589011,40.0657100925
532,42.4494589011,40.0657100925
533,42.4217506349,40.0657100925
534,42.3956817006,40.0388240124
535,42.4217506349,40.0388240124
536,42.4217506349,40.0388240124
537,42.3956817006,40.0135272473
538,42.3956817006,40.0135272473
539,42.3956817006,39.9882380106
540,42.3696218953,39.9882380106
541,42.3696218953,39.9882380106
542,42.3696218953,39.9882380106
543,42.3696218953,39.9629562863
544,42.3696218953,39.9629562863
545,42.3435712007,39.9629562863
546,42.3159022996,39.9629562863
547,42.3159022996,39.9361026676
548,42.3159022996,39.9108363866
549,42.3159022996,39.9361026676
550,42.2898703376,39.9108363866
551,42.2898703376,39.9108363866
552,42.2898703376,39.8855775688
553,42.2898703376,39.8855775688
554,42.26384743,39.8855775688
555,42.26384743,39.8587482341
556,42.26384743,39.8587482341
557,42.26384743,39.8587482341
558,42.2378335584,39.8335047582
559,42.2378335584,39.8335047582
560,42.2378335584,39.8082686962
561,42.2378335584,39.8082686962
562,42.2102037003,39.8082686962
563,42.2102037003,39.8082686962
564,42.1842084078,39.7830400322
565,42.1842084078,39.7830400322
566,42.1842084078,39.7562426649
567,42.1842084078,39.7562426649
568,42.1582220955,39.7562426649
569,42.1582220955,39.7562426649
570,42.1582220955,39.7562426649
571,42.1582220955,39.7310292088
572,42.1582220955,39.7310292088
573,42.1306214579,39.7058231019
574,42.1306214579,39.7058231019
575,42.1046536096,39.6790496481
576,42.1046536096,39.6790496481
577,42.1046536096,39.6790496481
578,42.0786946858,39.6790496481
579,42.0786946858,39.6538586486
580,42.0786946858,39.6538586486
581,42.0786946858,39.6538586486
582,42.0786946858,39.6538586486
583,42.0527446683,39.6286749497
584,42.0527446683,39.601925251
585,42.0527446683,39.601925251
586,42.0251825132,39.601925251
587,42.0251825132,39.5767565594
588,42.0251825132,39.5767565594
589,42.0251825132,39.5767565594
590,41.999250808,39.5515951198
591,41.999250808,39.5515951198
592,41.999250808,39.5515951198
593,41.9733279537,39.5515951198
594,41.9733279537,39.5515951198
595,41.9733279537,39.5264409165
596,41.9733279537,39.5264409165
597,41.9733279537,39.5264409165
598,41.9733279537,39.4997224867
599,41.9733279537,39.4997224867
600,41.9474139325,39.4745831586
601,41.9474139325,39.4745831586
602,41.9198899431,39.4745831586
603,41.9198899431,39.4745831586
604,41.8939940831,39.4494510185
605,41.8939940831,39.4494510185
606,41.8939940831,39.4494510185
607,41.8681070012,39.4227559781
608,41.8681070012,39.4227559781
609,41.8681070012,39.3976386139
610,41.8681070012,39.3976386139
611,41.8681070012,39.3976386139
612,41.8681070012,39.3976386139
613,41.8681070012,39.3725283899
614,41.8406115746,39.3725283899
615,41.8406115746,39.3725283899
616,41.8147425408,39.3725283899
617,41.8406115746,39.3474252902
618,41.8147425408,39.3474252902
619,41.8147425408,39.3474252902
620,41.8147425408,39.3207610357
621,41.7888822303,39.3207610357
622,41.7888822303,39.3207610357
623,41.7630306251,39.3207610357
624,41.7630306251,39.295672581
625,41.8147425408,39.270591203
626,41.7630306251,39.270591203
627,41.7355728134,39.270591203
628,41.7355728134,39.270591203
629,41.7355728134,39.2439499754
630,41.7355728134,39.2439499754
631,41.7355728134,39.2439499754
632,41.7097391071,39.2439499754
633,41.7097391071,39.2439499754
634,41.6839140518,39.218883144
635,41.6839140518,39.1938233417
636,41.6839140518,39.1938233417
637,41.6839140518,39.1938233417
638,41.6839140518,39.1672049863
639,41.6839140518,39.1672049863
640,41.6580976299,39.1672049863
641,41.6580976299,39.1672049863
642,41.6580976299,39.1672049863
643,41.6306771213,39.1421596326
644,41.6306771213,39.1421596326
645,41.6306771213,39.1421596326
646,41.6306771213,39.1171212607
647,41.6306771213,39.1171212607
648,41.6048784497,39.0920898551
649,41.6048784497,39.0920898551
650,41.6048784497,39.0920898551
651,41.6048784497,39.0920898551
652,41.6048784497,39.0655016025
653,41.5790883574,39.0655016025
654,41.5790883574,39.0655016025
655,41.5516957649,39.0655016025
656,41.5516957649,39.0404845162
657,41.5516957649,39.0404845162
658,41.5516957649,39.0404845162
659,41.5516957649,39.0154743491
660,41.5516957649,39.0154743491
661,41.5259233117,39.0154743491
662,41.5259233117,38.9889086107
663,41.5259233117,38.9889086107
664,41.5259233117,38.9639126659
665,41.5001593839,38.9639126659
666,41.4744039639,38.9639126659
667,41.4744039639,38.9639126659
668,41.4744039639,38.9639126659
669,41.4744039639,38.9639126659
670,41.4470481327,38.9389235932
671,41.4470481327,38.9389235932
672,41.4470481327,38.9389235932
673,41.4470481327,38.9139413774
674,41.4470481327,38.9139413774
675,41.4213102049,38.9139413774
676,41.4213102049,38.8874052692
677,41.4213102049,38.8874052692
678,41.4213102049,38.8874052692
679,41.4213102049,38.8624371475
680,41.4213102049,38.8624371475
681,41.3955807315,38.8624371475
682,41.3955807315,38.8374758359
683,41.3955807315,38.8374758359
684,41.369859695,38.8374758359
685,41.369859695,38.8374758359
686,41.369859695,38.8374758359
687,41.3425403186,38.8109618873
688,41.3425403186,38.8109618873
689,41.3425403186,38.7860145736
690,41.3425403186,38.7860145736
691,41.3425403186,38.7860145736
692,41.3168366283,38.7860145736
693,41.3168366283,38.7610740235
694,41.3168366283,38.7610740235
695,41.3168366283,38.7610740235
696,41.3168366283,38.7345820829
697,41.2911413217,38.7345820829
698,41.2911413217,38.7345820829
699,41.2638492251,38.7345820829
700,41.2638492251,38.7096554348
701,41.2638492251,38.7096554348
702,41.2381711553,38.7096554348
703,41.2381711553,38.7096554348
704,41.2381711553,38.6847355039
705,41.2381711553,38.6847355039
706,41.2381711553,38.659822275
707,41.1868399904,38.659822275
708,41.1868399904,38.659822275
709,41.1868399904,38.659822275
710,41.1595838155,38.633359296
711,41.1595838155,38.633359296
712,41.1595838155,38.633359296
713,41.1595838155,38.633359296
714,41.133939482,38.6084598426
715,41.133939482,38.6084598426
716,41.133939482,38.583567045
717,41.133939482,38.583567045
718,41.1083034093,38.583567045
719,41.1083034093,38.583567045
720,41.1083034093,38.583567045
721,41.1083034093,38.5571257238
722,41.0826755803,38.5571257238
723,41.0826755803,38.5571257238
724,41.1083034093,38.5571257238
725,41.0826755803,38.5322466066
726,41.0554550255,38.5322466066
727,41.0554550255,38.5322466066
728,41.0554550255,38.5322466066
729,41.0554550255,38.5073740994
730,41.029844145,38.5073740994
731,41.029844145,38.5073740994
732,41.029844145,38.5073740994
733,41.029844145,38.4560953646
734,41.0042414558,38.4560953646
735,41.0042414558,38.4560953646
736,41.0042414558,38.4312430071
737,41.0042414558,38.4560953646
738,41.0042414558,38.4312430071
739,41.0042414558,38.4312430071
740,40.9770475547,38.4312430071
741,40.9514617063,38.4312430071
742,40.9770475547,38.4312430071
743,40.9770475547,38.4063971988
744,40.9514617063,38.3800056868
745,40.9514617063,38.4063971988
746,40.9258839971,38.3800056868
747,40.9258839971,38.3800056868
748,40.9258839971,38.3551733391
749,40.9258839971,38.3800056868
750,40.90031441,38.3551733391
751,40.90031441,38.3551733391
752,40.90031441,38.3551733391
753,40.90031441,38.330347495
754,40.90031441,38.330347495
755,40.90031441,38.330347495
756,40.90031441,38.330347495
757,40.8731556043,38.3039771449
758,40.8731556043,38.3039771449
759,40.8476027158,38.3039771449
760,40.8476027158,38.3039771449
761,40.8476027158,38.2791646675
762,40.8476027158,38.2791646675
763,40.8220578976,38.2543586482
764,40.8220578976,38.2543586482
765,40.8220578976,38.2543586482
766,40.8220578976,38.2543586482
767,40.8220578976,38.2543586482
768,40.8220578976,38.2543586482
769,40.7949253521,38.2295590722
770,40.7949253521,38.2295590722
771,40.7949253521,38.2295590722
772,40.7949253521,38.2032165662
773,40.7693971258,38.1784302329
774,40.7693971258,38.1784302329
775,40.7693971258,38.1784302329
776,40.7438769182,38.1784302329
777,40.7438769182,38.1536502977
778,40.7183647125,38.1536502977
779,40.7183647125,38.1536502977
780,40.7183647125,38.1536502977
781,40.7183647125,38.1536502977
782,40.7183647125,38.1273286104
783,40.7183647125,38.1273286104
784,40.7183647125,38.1273286104
785,40.691266743,38.1025618248
786,40.691266743,38.1273286104
787,40.691266743,38.1273286104
788,40.691266743,38.1025618248
789,40.6657709883,38.1025618248
790,40.6657709883,38.1025618248
791,40.6657709883,38.0778013921
792,40.6657709883,38.0515003771
793,40.6402831843,38.0515003771
794,40.6402831843,38.0515003771
795,40.6148033142,38.0515003771
796,40.6148033142,38.0515003771
797,40.6148033142,38.0267530012
798,40.6148033142,38.0267530012
799,40.5877396267,38.0267530012
800,40.5877396267,38.0267530012
801,40.5877396267,38.0020119335
802,40.5877396267,38.0020119335
803,40.5877396267,38.0020119335
804,40.5877396267,37.926281501
805,40.5877396267,37.926281501
806,40.5622760676,37.926281501
807,40.5622760676,37.926281501
808,40.5622760676,37.926281501
809,40.5368203913,37.926281501
810,40.5368203913,37.9015659097
811,40.5368203913,37.9015659097
812,40.509782354,37.9015659097
813,40.509782354,37.9015659097
814,40.5368203913,37.8753124245
815,40.509782354,37.8753124245
816,40.509782354,37.8506096754
817,40.4843428837,37.8506096754
818,40.4843428837,37.8506096754
819,40.4843428837,37.8506096754
820,40.4843428837,37.8259131306
821,40.4843428837,37.8506096754
822,40.4589112454,37.8259131306
823,40.4589112454,37.8259131306
824,40.4589112454,37.8259131306
825,40.4589112454,37.8012227754
826,40.4334874227,37.8012227754
827,40.4334874227,37.774996039
828,40.4334874227,37.774996039
829,40.4334874227,37.774996039
830,40.406483156,37.774996039
831,40.406483156,37.7503184045
832,40.406483156,37.7503184045
833,40.406483156,37.7503184045
834,40.406483156,37.7503184045
835,40.406483156,37.7503184045
836,40.3810754005,37.7503184045
837,40.3810754005,37.7256469153
838,40.3810754005,37.7256469153
839,40.3810754005,37.7256469153
840,40.3810754005,37.7256469153
841,40.3556754101,37.6994401754
842,40.3556754101,37.6994401754
843,40.3556754101,37.6994401754
844,40.3556754101,37.6994401754
845,40.3556754101,37.6747813155
846,40.3033123826,37.6747813155
847,40.3302831681,37.6501285568
848,40.3033123826,37.6501285568
849,40.3033123826,37.6501285568
850,40.3033123826,37.6501285568
851,40.3033123826,37.6239416697
852,40.3033123826,37.6239416697
853,40.3033123826,37.6239416697
854,40.3033123826,37.6239416697
855,40.2779360701,37.6239416697
856,40.2779360701,37.6239416697
857,40.2779360701,37.5993014493
858,40.2525674558,37.574667286
859,40.2256217197,37.574667286
860,40.2256217197,37.574667286
861,40.2256217197,37.574667286
862,40.2256217197,37.574667286
863,40.2256217197,37.5500391656
864,40.2256217197,37.5500391656
865,40.2002689314,37.5500391656
866,40.2002689314,37.5500391656
867,40.2002689314,37.5500391656
868,40.2002689314,37.5238783927
869,40.1749237912,37.5238783927
870,40.2002689314,37.5238783927
871,40.1749237912,37.5238783927
872,40.1749237912,37.4992626903
873,40.1749237912,37.4992626903
874,40.1749237912,37.4992626903
875,40.1495862829,37.4992626903
876,40.1495862829,37.4746529869
